epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,264.616,1.45627,1.80597,1.1714,0.65155,0.56647,0.60425,0.34715,1.36583,1.0352,1.16586,0.000332364,0.000332364,0.000332364
2,486.187,1.30723,0.98643,1.10269,0.72822,0.59929,0.66506,0.39367,1.34696,0.91167,1.16382,0.00064373,0.00064373,0.00064373
3,706.632,1.28058,0.88809,1.09576,0.73038,0.58597,0.64497,0.38397,1.32667,0.9198,1.16485,0.000933095,0.000933095,0.000933095
4,929.795,1.26162,0.83758,1.08633,0.77485,0.64143,0.7188,0.44752,1.27878,0.81122,1.12603,0.000901,0.000901,0.000901
5,1155.26,1.23419,0.78762,1.07432,0.7419,0.62872,0.69543,0.41934,1.31758,0.80197,1.12058,0.000868,0.000868,0.000868
6,1378.07,1.21759,0.75976,1.06617,0.77501,0.65371,0.72573,0.45871,1.23792,0.76025,1.10105,0.000835,0.000835,0.000835
7,1607.57,1.1935,0.73043,1.05837,0.75394,0.66945,0.73591,0.47468,1.23316,0.75278,1.10059,0.000802,0.000802,0.000802
8,1840.85,1.1815,0.7135,1.054,0.76801,0.68622,0.75362,0.48039,1.21459,0.74244,1.09425,0.000769,0.000769,0.000769
9,2076.78,1.16824,0.69878,1.0481,0.76913,0.70728,0.75885,0.48108,1.24314,0.73279,1.10985,0.000736,0.000736,0.000736
10,2303.49,1.15895,0.68649,1.04182,0.79131,0.70983,0.77772,0.49943,1.22452,0.69619,1.09877,0.000703,0.000703,0.000703
11,2527.1,1.14391,0.67527,1.03708,0.82584,0.7197,0.79182,0.51749,1.18769,0.68731,1.07427,0.00067,0.00067,0.00067
12,2750.7,1.14123,0.66431,1.03576,0.80751,0.7321,0.79657,0.52529,1.19635,0.66651,1.08332,0.000637,0.000637,0.000637
13,2975.72,1.13076,0.65363,1.03196,0.83752,0.6972,0.79619,0.5216,1.18681,0.67151,1.07538,0.000604,0.000604,0.000604
14,3200.21,1.12437,0.64435,1.02877,0.81469,0.72488,0.80298,0.52764,1.17983,0.65981,1.07671,0.000571,0.000571,0.000571
15,3426.53,1.11424,0.63649,1.02533,0.84266,0.73495,0.81103,0.54009,1.16975,0.64206,1.06534,0.000538,0.000538,0.000538
16,3655.95,1.11239,0.63114,1.02236,0.83926,0.75302,0.8221,0.54081,1.17461,0.64258,1.07436,0.000505,0.000505,0.000505
17,3880.77,1.09818,0.62017,1.0166,0.82846,0.75348,0.82115,0.54555,1.15922,0.63654,1.06693,0.000472,0.000472,0.000472
18,4106.77,1.09033,0.61385,1.01625,0.82674,0.7571,0.82616,0.54579,1.1555,0.6353,1.0646,0.000439,0.000439,0.000439
19,4331.92,1.08718,0.60736,1.01325,0.8264,0.75438,0.81843,0.54478,1.15326,0.62533,1.06274,0.000406,0.000406,0.000406
20,4556.24,1.08098,0.60207,1.01141,0.84209,0.753,0.82842,0.55196,1.15129,0.62143,1.06194,0.000373,0.000373,0.000373
21,4777.26,1.06029,0.56797,1.0123,0.84775,0.75019,0.82563,0.55278,1.14232,0.61984,1.05891,0.00034,0.00034,0.00034
22,4992.75,1.04467,0.55476,1.00717,0.85773,0.76403,0.83162,0.55754,1.14293,0.61132,1.06171,0.000307,0.000307,0.000307
23,5210.33,1.03606,0.54706,1.00014,0.84509,0.77188,0.834,0.55907,1.1426,0.6068,1.05697,0.000274,0.000274,0.000274
24,5430.11,1.02797,0.53875,0.99913,0.83471,0.77318,0.83095,0.5555,1.15027,0.6066,1.06441,0.000241,0.000241,0.000241
25,5650.21,1.01891,0.53375,0.99379,0.86406,0.7533,0.83757,0.56398,1.12968,0.59592,1.05193,0.000208,0.000208,0.000208
26,5871.14,1.00871,0.52691,0.9914,0.84487,0.77822,0.8383,0.56482,1.12565,0.59468,1.05083,0.000175,0.000175,0.000175
27,6092.59,0.99718,0.5195,0.98503,0.84723,0.78609,0.84152,0.56743,1.12527,0.5938,1.05205,0.000142,0.000142,0.000142
28,6311.87,0.99011,0.51366,0.9835,0.83988,0.78706,0.84106,0.57023,1.12933,0.59039,1.05336,0.000109,0.000109,0.000109
29,6528.34,0.9857,0.50891,0.98073,0.84699,0.78067,0.84073,0.57139,1.12309,0.5861,1.05292,7.6e-05,7.6e-05,7.6e-05
30,6742.44,0.97853,0.50409,0.9793,0.87129,0.77116,0.84503,0.57215,1.12313,0.58433,1.05258,4.3e-05,4.3e-05,4.3e-05
